pmid,title,journal,pub_date,year,first_author,num_authors
6877339,Immunology of dermatophytosis. Experimental study.,Mycopathologia,1983 Apr 22,1983,García de Lomas J,5
6350658,[Biochemical properties of keratinolytic proteinases produced by Candida albicans].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1983 Mar,1983,Matsuda K,5
6186036,Isolation of an extracellular proteinase (keratinase) from Microsporum canis.,Sabouraudia,1982 Dec,1982,Takiuchi I,4
6753188,Effect of undecanoic acid on the production of exocellular lipolytic and keratinolytic enzymes by undecanoic acid-sensitive and -resistant strains of Trichophyton rubrum.,Sabouraudia,1982 Sep,1982,Das SK,2
7035721,[The production of antibodies to an extracellular keratinase of microsporum canis (author's transl)].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1981 Jun,1981,Takiuchi I,3
7024585,"[The effect of keratinase on human epidermis, especially on stratum corneum (author's transl)].",Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1981 Feb,1981,Takiuchi I,3
16345635,Collagenase production by nematode-trapping fungi.,Applied and environmental microbiology,1980 Sep,1980,Schenck S,4
94467,Control of exocellular proteases in dermatophytes and especially Trichophyton rubrum.,Sabouraudia,1979 Jun,1979,Meevootisom V,2
301579,"[Isolation, purification and biochemical properties of keratinase elaborated from Microsporum gypseum (author's transl)].",Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1977 Apr,1977,Takiuchi I,2
1017526,Role of keratinases in dermatophytosis. IV. Reactivities of sera from guinea pigs with heat-inactivated keratinase II.,Dermatologica,1976,1976,Grappel SF,1
3173,"The substrate specificity of thermomycolase, an extracellular serine proteinase from the thermophilic fungus Malbranchea pulchella var. sulfurea.",The Biochemical journal,1975 Dec,1975,Stevenson KJ,2
236085,Degradation of feather keratin by culture filtrates of Streptomyces fradiae.,Canadian journal of microbiology,1975 May,1975,Young RA,2
4855780,Phosphate-mediated alteration of the Microsporum gypseum germination protease specificity for substrate: enhanced keratinase activity.,Journal of bacteriology,1974 Feb,1974,Page WJ,2
4545485,[Studies on productive activity of a keratinase in Microsporum gypseum (author's transl)].,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,1973 Aug,1973,Takiuchi I,4
4780776,Role of keratinases in dermatophytosis. 3. Demonstration of delayed hypersensitivity to keratinases by the capillary tube migration test.,Dermatologica,1973,1973,Eleuterio MK,4
4576226,Role of keratinases in dermatophytosis. II. Fluorescent antibody studies with keratinase II of Trichophyton mentagrophytes.,Dermatologica,1973,1973,Collins JP,3
4654231,Keratinases: hydrolysis of keratinous substrates by three enzymes of Trichophyton mentagrophytes.,Experientia,1972 Dec 15,1972,Yu RJ,3
4672808,Inhibition of keratinases by 2 -macroglobulin.,Experientia,1972 Aug 15,1972,Yu RJ,3
4124876,Role of keratinases in dermatophytosis. I. Immune responses of guinea pigs infected with Trichophyton mentagrophytes and guinea pigs immunized with keratinases.,Dermatologica,1972,1972,Grappel SF,2
4997366,Two cell-bound keratinases of Trichophyton mentagrophytes.,The Journal of investigative dermatology,1971 Jan,1971,Yu RJ,4
4983101,Amino acid composition and specificity of a keratinase of Trichophyton mentagrophytes.,Archives of biochemistry and biophysics,1969 Dec,1969,Yu RJ,4
4979675,Hair digestion by a keratinase of Trichophyton mentagrophytes.,The Journal of investigative dermatology,1969 Aug,1969,Yu RJ,3
5686010,Isolation and purification of an extracellular keratinase of Trichophyton mentagrophytes.,Journal of bacteriology,1968 Oct,1968,Yu RJ,3
5986551,"[Ectoenzymes of the dermatophytes. II. pH dependency of the activity and substrate specificity, with special consideration of o-phosphoric acid monoester-phosphohydrolase as well as proteinases and keratinase].",Archiv fur klinische und experimentelle Dermatologie,1966,1966,Ziegler H,1
14078977,KERATINASE. II. PROPERTIES OF THE CRYSTALLINE ENZYME.,Biochimica et biophysica acta,1963 Sep 3,1963,NICKERSON WJ,2
14078975,KERATINASE. I. PROPERTIES OF THE ENZYME CONJUGATED ELABORATED BY STREPTOMYCES FRADIAE.,Biochimica et biophysica acta,1963 Sep 3,1963,NICKERSON WJ,3
14062643,THE EFFECT OF KERATINASE ON HUMAN EPIDERMIS.,The Journal of investigative dermatology,1963 Sep,1963,DOBSON RL,2
