pmid,title,journal,pub_date,year,first_author,num_authors
36271998,Multifarious revolutionary aspects of microbial keratinases: an efficient green technology for future generation with prospective applications.,Environmental science and pollution research international,2022 Dec,2022,Akram F,5
34897928,An overview of the use of proteolytic enzymes as exfoliating agents.,Journal of cosmetic dermatology,2022 Aug,2022,Trevisol TC,4
34808176,A combination of bioinformatics analysis and rational design strategies to enhance keratinase thermostability for efficient biodegradation of feathers.,The Science of the total environment,2022 Apr 20,2022,Su C,9
34248885,"Structure, Application, and Biochemistry of Microbial Keratinases.",Frontiers in microbiology,2021,2021,Li Q,1
33996524,Enhanced fusidic acid transdermal delivery achieved by newly isolated and optimized Bacillus cereus Keratinase.,"Biotechnology reports (Amsterdam, Netherlands)",2021 Jun,2021,Shalaby MM,4
33864165,Industrial sustainability of microbial keratinases: production and potential applications.,World journal of microbiology & biotechnology,2021 Apr 17,2021,de Menezes CLA,7
33663355,Bioinformatics analysis of extracellular subtilisin E from Bacillus subtilis.,Journal of biomolecular structure & dynamics,2022 Oct,2022,Zolfaghari Emameh R,3
33588724,Biological Degradation of Keratin by Microbial Keratinase for Effective Waste Management and Potent Industrial Applications.,Current protein & peptide science,2021 Oct 26,2021,Latafat,4
33391200,Microbial Keratinase: Next Generation Green Catalyst and Prospective Applications.,Frontiers in microbiology,2020,2020,Nnolim NE,4
33186607,The tale of a versatile enzyme: Molecular insights into keratinase for its industrial dissemination.,Biotechnology advances,2020 Dec,2020,Su C,7
32771848,Valorization of chicken feather waste into bioactive keratin hydrolysate by a newly purified keratinase from Bacillus sp. RCM-SSR-102.,Journal of environmental management,2020 Nov 1,2020,Kshetri P,8
32740782,Biochemical characterization of a surfactant-stable keratinase purified from Proteus vulgaris EMB-14 grown on low-cost feather meal.,Biotechnology letters,2020 Dec,2020,Babalola MO,4
32691954,Enzymatic Extraction of Bioactive and Self-Assembling Wool Keratin for Biomedical Applications.,Macromolecular bioscience,2020 Sep,2020,Su C,11
32664682,Comparative Genomics of Stenotrophomonas maltophilia and Stenotrophomonas rhizophila Revealed Characteristic Features of Both Species.,International journal of molecular sciences,2020 Jul 12,2020,Pinski A,4
32617705,Effective multi-functional biotechnological applications of protease/keratinase enzyme produced by new Egyptian isolate (Laceyella sacchari YNDH).,"Journal, genetic engineering & biotechnology",2020 Jul 2,2020,Goda DA,5
32615225,"Sustainable production, biochemical and molecular characterization of thermo-and-solvent stable alkaline serine keratinase from novel Bacillus pumilus AR57 for promising poultry solid waste management.",International journal of biological macromolecules,2020 Nov 15,2020,Jagadeesan Y,4
32607909,"Population differentiation, antifungal susceptibility, and host range of Trichophyton mentagrophytes isolates causing recalcitrant infections in humans and animals.",European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,2020 Nov,2020,Gnat S,5
32569793,Recombinant expression and molecular engineering of the keratinase from Brevibacillus parabrevis for dehairing performance.,Journal of biotechnology,2020 Aug 20,2020,Zhang RX,8
32540765,Fabrication and characterization of high molecular keratin based nanofibrous membranes for wound healing.,"Colloids and surfaces. B, Biointerfaces",2020 Oct,2020,Ye JP,10
32423677,Efficient keratinase expression via promoter engineering strategies for degradation of feather wastes.,Enzyme and microbial technology,2020 Jun,2020,Gong JS,10
32194110,Comprehensive insights into microbial keratinases and their implication in various biotechnological and industrial sectors: A review.,International journal of biological macromolecules,2020 Jul 1,2020,Hassan MA,5
32184853,Efficient Keratinolysis of Poultry Feather Waste by the Halotolerant Keratinase from Salicola Marasensis.,Iranian journal of pharmaceutical research : IJPR,2019 Fall,2019,Khoshnevis N,4
32104540,The Role of Reactive Oxygen Species and Nitric Oxide in the Inhibition of Trichophyton rubrum Growth by HaCaT Cells.,Oxidative medicine and cellular longevity,2020,2020,Huang M,6
31752715,Simultaneous dermatophytosis and keratomycosis caused by Trichophyton interdigitale infection: a case report and literature review.,BMC infectious diseases,2019 Nov 21,2019,Zhang M,6
31297626,Selective biodegradation of recalcitrant black chicken feathers by a newly isolated thermotolerant bacterium Pseudochrobactrum sp. IY-BUK1 for enhanced production of keratinase and protein-rich hydrolysates.,International microbiology : the official journal of the Spanish Society for Microbiology,2020 May,2020,Yusuf I,6
31193333,In vitro degradation of β-amyloid fibrils by microbial keratinase.,"Alzheimer's & dementia (New York, N. Y.)",2019,2019,Ningthoujam DS,8
30810899,Microbial production and industrial applications of keratinases: an overview.,International microbiology : the official journal of the Spanish Society for Microbiology,2018 Dec,2018,Ghaffar I,7
30733740,Biodegradation of feather waste by keratinase produced from newly isolated Bacillus licheniformis ALW1.,"Journal, genetic engineering & biotechnology",2018 Dec,2018,Abdel-Fattah AM,5
30668109,Combining Pro-peptide Engineering and Multisite Saturation Mutagenesis To Improve the Catalytic Potential of Keratinase.,ACS synthetic biology,2019 Feb 15,2019,Su C,10
30510475,Microbial Keratinases: Enzymes with Promising Biotechnological Applications.,Food technology and biotechnology,2018 Sep,2018,Vidmar B,2
30187720,Effect of Partial Substitution of Ration's Soybean Meal by Biologically Treated Feathers on Rumen Fermentation Characteristics (<I>in vitro</I>).,Pakistan journal of biological sciences : PJBS,2018,2018,A Ismail S,6
30114294,Understanding the dynamics of keratin weakening and hydrolysis by proteases.,PloS one,2018,2018,Navone L,2
30003464,"Molecular characterization of bmyC gene of the mosquito pupicidal bacteria, Bacillus amyloliquefaciens (VCRC B483) and in silico analysis of bacillomycin D synthetase C protein.",World journal of microbiology & biotechnology,2018 Jul 12,2018,Ashokkumar M,4
29938805,"Feather degrading, phytostimulating, and biocontrol potential of native actinobacteria from North Eastern Indian Himalayan Region.",Journal of basic microbiology,2018 Sep,2018,Kshetri P,8
29901706,"Birds, feather-degrading bacteria and preen glands: the antimicrobial activity of preen gland secretions from turkeys (Meleagris gallopavo) is amplified by keratinase.",FEMS microbiology ecology,2018 Sep 1,2018,Braun MS,4
29729988,Efficiency of newly prepared thiazole derivatives against some cutaneous fungi.,Bioorganic & medicinal chemistry,2018 Jul 23,2018,Ouf SA,5
33418661,Mining and Expression of a Metagenome-Derived Keratinase Responsible for Biosynthesis of Silver Nanoparticles.,ACS biomaterials science & engineering,2018 Apr 9,2018,Tao LY,9
29151650,Molecular Modeling of Cloned Bacillus subtilis Keratinase and Its Insinuation in Psoriasis Treatment Using Docking Studies.,Indian journal of microbiology,2017 Dec,2017,Gupta S,4
28860766,"Synthesized zinc peroxide nanoparticles (ZnO(2)-NPs): a novel antimicrobial, anti-elastase, anti-keratinase, and anti-inflammatory approach toward polymicrobial burn wounds.",International journal of nanomedicine,2017,2017,Ali SS,5
28832667,Secretory expression and purification of Bacillus licheniformis keratinase in insect cells.,PloS one,2017,2017,Huang M,3
28231319,Development of a keratinase activity assay using recombinant chicken feather keratin substrates.,PloS one,2017,2017,Jin HS,7
27864058,A novel alkaline surfactant-stable keratinase with superior feather-degrading potential based on library screening strategy.,International journal of biological macromolecules,2017 Feb,2017,Su C,10
27651275,Biochemical characterization of a novel surfactant-stable serine keratinase with no collagenase activity from Brevibacillus parabrevis CGMCC 10798.,International journal of biological macromolecules,2016 Dec,2016,Zhang RX,9
27282152,Susceptibility to antifungal agents and enzymatic activity of Candida haemulonii and Cutaneotrichosporon dermatis isolated from soft corals on the Brazilian reefs.,Archives of microbiology,2016 Dec,2016,Pagani DM,12
27591845,Keratinase production and biodegradation of polluted secondary chicken feather wastes by a newly isolated multi heavy metal tolerant bacterium-Alcaligenes sp. AQ05-001.,Journal of environmental management,2016 Dec 1,2016,Yusuf I,8
27435381,"Inhibitory effects of cold atmospheric plasma on the growth, ergosterol biosynthesis, and keratinase activity in Trichophyton rubrum.",Archives of biochemistry and biophysics,2016 Oct 15,2016,Shapourzadeh A,7
27387016,Biochemical and molecular characterization of new keratinoytic protease from Actinomadura viridilutea DZ50.,International journal of biological macromolecules,2016 Nov,2016,Ben Elhoul M,11
27291045,"In vitro evaluation of antifungal susceptibility and keratinase, elastase, lipase and DNase activities of different dermatophyte species isolated from clinical specimens in Iran.",Mycoses,2016 Nov,2016,Sharifzadeh A,3
27287337,Anti-fungal potential of ozone against some dermatophytes.,Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],2016 Jul-Sep,2016,Ouf SA,4
27092223,"Antifungal susceptibility and virulence factors of clinically isolated dermatophytes in Tehran, Iran.",Iranian journal of microbiology,2016 Feb,2016,Afshari MA,3
26940376,A novel alkaline keratinase from Bacillus subtilis DP1 with potential utility in cosmetic formulation.,International journal of biological macromolecules,2016 Jun,2016,Sanghvi G,7
26906933,Feather hydrolysate from Streptomyces sampsonii GS 1322: A potential low cost soil amendment.,Journal of bioscience and bioengineering,2016 Jun,2016,Jain R,5
26812107,Novel serine keratinase from Caldicoprobacter algeriensis exhibiting outstanding hide dehairing abilities.,International journal of biological macromolecules,2016 May,2016,Bouacem K,9
28339548,Enhancement of the antidermatophytic activity of silver nanoparticles by Q-switched Nd:YAG laser and monoclonal antibody conjugation.,Medical mycology,2017 Jul 1,2017,Ouf SA,3
26589609,A metallo-keratinase from a newly isolated Acinetobacter sp. R-1 with low collagenase activity and its biotechnological application potential in leather industry.,Bioprocess and biosystems engineering,2016 Jan,2016,Zhang RX,8
